grid_size,seed,used_seed,V,E,fundamental_cycles_total,cycle_len_min,cycle_len_max,cycle_len_median,cycle_len_mean,frac_local_cycles,base_path_length,single_xor_compatibility_rate,valid_paths_xor_single,pair_xor_compatibility_rate,valid_paths_xor_pairs,valid_paths_xor_total,time_xor_ms,paths_found_astar_repeated,time_astar_repeated_ms,astar_success,diversity_xor,diversity_astar,fail_degree,fail_disconnected,fail_both
20,0,1,268,348,81,4,26,6.0,8.469135802469136,0.7407407407407407,44,0.13580246913580246,11,0.018,9,20,22.863462000032087,3,1.2487740000324266,False,0.20606163747723094,0.15059101654846332,5,64,1
20,1,1,268,348,81,4,26,6.0,8.469135802469136,0.7407407407407407,44,0.13580246913580246,11,0.018,9,20,21.403837999969255,3,1.2483650000376656,False,0.20606163747723094,0.15059101654846332,5,64,1
20,2,2,260,352,93,4,60,6.0,8.516129032258064,0.8602150537634409,38,0.24731182795698925,23,0.08,40,63,19.650989999945523,4,1.2948389999110077,False,0.3652296210475475,0.636066711163933,2,68,0
20,3,4,292,419,128,4,84,10.0,19.625,0.5234375,38,0.2421875,31,0.08,40,71,28.83490499993968,10,2.7171790000011242,True,0.3374342892171277,0.5688722637194887,5,92,0
20,4,4,292,419,128,4,84,10.0,19.625,0.5234375,38,0.2421875,31,0.08,40,71,31.949059999988094,10,4.508562999944843,True,0.3374342892171277,0.5688722637194887,5,92,0
20,5,5,209,276,68,4,40,6.0,11.941176470588236,0.6764705882352942,40,0.3088235294117647,21,0.104,52,73,21.85766499997044,2,0.9248850001313258,False,0.26479008075514543,0.18181818181818177,4,42,1
20,6,6,252,338,87,4,36,8.0,11.195402298850574,0.6666666666666666,40,0.40229885057471265,35,0.154,77,112,21.697713999856205,1,0.800775000016074,False,0.20480450516195245,0.0,8,44,0
20,7,7,275,368,94,4,42,6.0,12.48936170212766,0.6170212765957447,42,0.3404255319148936,32,0.132,66,98,24.257861000023695,6,1.9045769997774187,False,0.36137032578549555,0.5339665378102011,5,57,0
20,8,8,273,379,107,4,88,8.0,17.88785046728972,0.616822429906542,38,0.205607476635514,22,0.04,20,42,25.52120800010016,10,2.898610000102053,True,0.2972608800089608,0.7134825007812471,9,67,9
20,9,12,261,357,97,4,90,8.0,17.484536082474225,0.6804123711340206,38,0.26804123711340205,26,0.074,37,63,24.27491599996756,5,3.1724709999707557,False,0.2969440595541919,0.5455490933342062,3,68,0
20,10,12,261,357,97,4,90,8.0,17.484536082474225,0.6804123711340206,38,0.26804123711340205,26,0.074,37,63,24.052957999856517,5,1.6482510000059847,False,0.2969440595541919,0.5455490933342062,3,68,0
20,11,12,261,357,97,4,90,8.0,17.484536082474225,0.6804123711340206,38,0.26804123711340205,26,0.074,37,63,24.04251000007207,5,1.7397250001067732,False,0.2969440595541919,0.5455490933342062,3,68,0
20,12,12,261,357,97,4,90,8.0,17.484536082474225,0.6804123711340206,38,0.26804123711340205,26,0.074,37,63,24.884086000156458,5,1.5514740000526217,False,0.2969440595541919,0.5455490933342062,3,68,0
20,13,14,284,391,108,4,66,6.0,13.685185185185185,0.6574074074074074,40,0.3148148148148148,34,0.12,60,94,25.36211300002833,4,3.303203999848847,False,0.38100876983956844,0.6844939126655545,9,61,4
